Dielectric Const (Typical),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,CuO,ZnO,SrO,PbO,Fe2O3,La2O3,Bi2O3,TiO2,GeO2,ZrO2,CeO2,TeO2,P2O5,V2O5,Nb2O5,WO3
29.5,35,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
5.61,50,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
7.21,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
10.8,53.09,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0,0,25.09,0,0,0,0,0,0,0,0
10.8,58.21,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
7.6,73,0,0,0,0,0,0,0,14.33,0,0,0,0,0,0,0,12.67,0,0,0,0,0,0,0,0
8.2,68.34,0,0,0,0,0,0,0,14.53,0,0,0,0,0,0,0,17.13,0,0,0,0,0,0,0,0
11.9,48.28,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,36.32,0,0,0,0,0,0,0,0
11.73,42.89,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,41.48,0,0,0,0,0,0,0,0
8.3,64.39,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,13.21,0,0,0,0,0,0,0,0
9.4,48.96,0,0,0,0,0,0,0,23.42,0,0,0,0,0,0,0,27.62,0,0,0,0,0,0,0,0
10.4,37.87,0,0,0,0,0,0,0,24.15,0,0,0,0,0,0,0,37.98,0,0,0,0,0,0,0,0
11.4,32.06,0,0,0,0,0,0,0,24.53,0,0,0,0,0,0,0,43.41,0,0,0,0,0,0,0,0
9.5,65.26,0,0,0,0,0,0,0,30.28,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0
10.9,26.45,0,0,0,0,0,0,0,33.75,0,0,0,0,0,0,0,39.8,0,0,0,0,0,0,0,0
11.5,20.17,0,0,0,0,0,0,0,34.31,0,0,0,0,0,0,0,45.52,0,0,0,0,0,0,0,0
10.5,32.78,0,0,0,0,0,0,0,37.64,0,0,0,0,0,0,0,29.58,0,0,0,0,0,0,0,0
11.5,39.58,0,0,0,0,0,0,0,50.5,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0
12.3,77.5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0
13,75.1,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
14.1,74.9,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0
15.9,71.1,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
15.9,70,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
16.8,70,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
15.3,70,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
21.5,65.1,0,0,0,0,0,0,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
21.9,61.8,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0
21.2,61.9,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
20.3,62.1,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
20.8,62,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
26.5,54.2,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
24.6,54.1,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
24.4,54,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
25.5,54.05,0,0,0,0,0,0,29.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0
39.7,53.9,0,0,0,0,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
26.6,50,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
26.1,50,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
32.8,47,0,0,0,0,0,0,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0
12.7,64.5,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0
11.7,66.6,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0
10.2,69,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0
9.5,71.4,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0
8.9,74.1,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0
8.2,77,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0
13.7,57.7,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,0
12.3,60,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
11.1,62.5,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0
10.3,65.2,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0
9.3,68.2,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0
8.7,71.4,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0
15.5,47.6,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0
12.3,52.6,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0
11.2,55.5,0,0,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0
10.7,58.8,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0
