Crystallization Temp,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,Tl2O,MnO,NiO,CuO,ZnO,SrO,PbO,Cr2O3,Fe2O3,Ga2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,TeO2,P2O5,V2O5,Nb2O5,Ta2O5,MoO3,WO3,Er2O3,Yb2O3
890,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,33.3,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,35,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,45,0,0,0,0,0,35,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,50,0,0,0,0,0,30,0,0
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,50,0,0,0,0,0,35,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,60,0,0,0,0,0,25,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,60,0,0,0,0,0,30,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,20,0,0
830,77.39,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,57,0,5.1,0,15.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,57,0,5.1,0,13.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,57,0,5.1,0,14.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,57,0,5.1,0,15.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,57,0,5.1,0,14.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,57,0,5.1,0,13.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,57,0,5.1,0,12.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,57,0,5.1,0,12.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,4,0,0,0,0,0,0,0,0,0,0
977,57,0,5.1,0,10.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,6,0,0,0,0,0,0,0,0,0,0
894,57,0,5.1,0,15.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,57,0,5.1,0,14.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,57,0,5.1,0,12.5,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
