Liquidus Temperature ( C ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,ZrO2,CeO2,SnO2,P2O5,Nb2O5,Ta2O5
1070,15.29,9.9,0,0,12.29,19.48,0,0,0,0,0,2.06,0,0.04,0,0,0.67,0,0,40.27,0,0,0,0,0,0
1065,20,6.9,0,0,13.71,14.04,0,0,0,0,0,8.61,0,0.05,0,0,0.59,0,0,36.1,0,0,0,0,0,0
1060,16.58,14.3,0,0,8.88,11.37,0,0,0,6.12,0,10.04,0,0.05,0,0,1.49,0,0,31.17,0,0,0,0,0,0
985,21.33,14.73,0,0,4.56,14.97,0,0,0,0,0,11.49,0,0.05,0,0,0.78,0,0,32.09,0,0,0,0,0,0
1000,17.01,14.68,0,0,8.2,16.59,0,0,0,6.28,0,11.45,0,0.05,0,0,0.15,0,0,25.59,0,0,0,0,0,0
1010,17.94,15.48,0,0,4.8,10.54,0,0,0,6.49,0,16.9,0,0.05,0,0,0.82,0,0,26.98,0,0,0,0,0,0
1145,59.8,3.89,9.97,10.09,7.25,3.09,0,0,0,5,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,56.04,2.78,8.26,11.24,15.01,2.11,0,0,0,3.98,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,58.03,4.81,9.21,13.3,7.17,1.74,0,0,0,3.87,0,1.8,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
1100,65.87,2.43,6.63,6.71,9.65,3.52,0,0,0,2.91,0,0.91,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0
1150,57.73,2.98,12.25,6.88,7.42,2.71,0,0,0,7.67,2.14,0.15,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
1110,59.89,4.64,10.45,12.02,9.21,2.11,0,0,0,1.58,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
